,amha1245,basq1248,beng1280,nucl1310,cebu1242,cent1972,dani1285,dutc1256,stan1293,fili1244,finn1318,stan1290,stan1295,mode1248,guja1252,hait1244,haus1257,hind1269,hung1274,nucl1417,indo1316,west2369,iris1253,ital1282,nucl1643,java1254,nucl1305,kore1280,kirg1245,lith1251,mala1464,mara1378,nepa1254,pedi1238,nyan1308,panj1256,plat1254,poli1260,port1283,russ1263,sout1528,shon1251,sind1272,sinh1246,soma1255,sout2649,stan1288,stan1306,sund1252,swah1253,swed1254,tami1289,telu1262,thai1261,tosk1239,nucl1301,ukra1253,urdu1245,viet1252,nucl1347,xhos1239,yoru1245,zulu1248,stan1318,mand1415
amha1245,0.00019999999494757503,0.49950000643730164,0.535099983215332,0.5325000286102295,0.5978999733924866,0.7319999933242798,0.4964999854564667,0.5404999852180481,0.5347999930381775,0.4918999969959259,0.5081999897956848,0.5507000088691711,0.5347999930381775,0.5529999732971191,0.5202000141143799,0.6047999858856201,0.5382999777793884,0.5126000046730042,0.46239998936653137,0.5705999732017517,0.5397999882698059,0.49959999322891235,0.5665000081062317,0.5127999782562256,0.5249999761581421,0.5769000053405762,0.4440999925136566,0.5163000226020813,0.5081999897956848,0.4625000059604645,0.4523000121116638,0.4810999929904938,0.6175000071525574,0.6488999724388123,0.5792999863624573,0.5167999863624573,0.5949000120162964,0.5113999843597412,0.5145999789237976,0.5223000049591064,0.46540001034736633,0.5590000152587891,0.5418999791145325,0.4848000109195709,0.548799991607666,0.6066,0.5284000039100647,0.5759000182151794,0.5662000179290771,0.5468999743461609,0.5968000292778015,0.4772999882698059,0.4819999933242798,0.5909000039100647,0.48350000381469727,0.4571000039577484,0.46869999170303345,0.5644000172615051,0.6549000144004822,0.5440999865531921,0.57669997215271,0.6194999814033508,0.5529999732971191,0.5855000019073486,0.5465999841690063
basq1248,0.49950000643730164,0.0,0.5121999979019165,0.593500018119812,0.5715000033378601,0.7491000294685364,0.5516999959945679,0.5597000122070312,0.5781000256538391,0.5167999863624573,0.5557000041007996,0.5613999962806702,0.5702000260353088,0.5293999910354614,0.504800021648407,0.5758000016212463,0.5411999821662903,0.4830000102519989,0.5296000242233276,0.5983999967575073,0.5426999926567078,0.5313000082969666,0.5440000295639038,0.515999972820282,0.5823000073432922,0.5882999897003174,0.516700029373169,0.582099974155426,0.5471000075340271,0.5231999754905701,0.504800021648407,0.5318999886512756,0.6607999801635742,0.6169999837875366,0.6004999876022339,0.5033000111579895,0.5703999996185303,0.5145999789237976,0.5177000164985657,0.534600019454956,0.4480000138282776,0.5874999761581421,0.5120000243186951,0.48820000886917114,0.5094000101089478,0.6043,0.5027999877929688,0.5393000245094299,0.5879999995231628,0.5582000017166138,0.5992000102996826,0.5558000206947327,0.5464000105857849,0.5932999849319458,0.534600019454956,0.5407000184059143,0.5291000008583069,0.5325000286102295,0.6252999901771545,0.5382999777793884,0.5964999794960022,0.5756999850273132,0.5727999806404114,0.5982000231742859,0.5325000286102295
beng1280,0.535099983215332,0.5121999979019165,0.0,0.4921000003814697,0.6136999726295471,0.7416999936103821,0.5282999873161316,0.5271999835968018,0.5217999815940857,0.47119998931884766,0.5203999876976013,0.5135999917984009,0.5299999713897705,0.6033999919891357,0.3481999933719635,0.5903000235557556,0.5735999941825867,0.3587999939918518,0.5297999978065491,0.5544999837875366,0.5677000284194946,0.565500020980835,0.5436999797821045,0.5936999917030334,0.5083000063896179,0.5415999889373779,0.40779998898506165,0.5002999901771545,0.5115000009536743,0.5048999786376953,0.3952000141143799,0.3682999908924103,0.6323000192642212,0.6728000044822693,0.6050000190734863,0.3783999979496002,0.61080002784729,0.5407000184059143,0.5519000291824341,0.5684000253677368,0.5267999768257141,0.609499990940094,0.41670000553131104,0.34929999709129333,0.4668999910354614,0.5904,0.5993000268936157,0.6018999814987183,0.5837000012397766,0.6126000285148621,0.5239999890327454,0.4715999960899353,0.3691999912261963,0.531000018119812,0.5853000283241272,0.5569000244140625,0.519599974155426,0.3871999979019165,0.590399980545044,0.5547000169754028,0.6100999712944031,0.5627999901771545,0.6190000176429749,0.6116999983787537,0.5325999855995178
nucl1310,0.5325000286102295,0.593500018119812,0.4921000003814697,0.0,0.6413000226020813,0.7207000255584717,0.5956000089645386,0.5489000082015991,0.4925000071525574,0.4909000098705292,0.5440000295639038,0.5821999907493591,0.535099983215332,0.6104000210762024,0.49239999055862427,0.6414999961853027,0.5958999991416931,0.5296000242233276,0.5268999934196472,0.5260000228881836,0.5199000239372253,0.5814999938011169,0.5903000235557556,0.5927000045776367,0.4860000014305115,0.5667999982833862,0.5317999720573425,0.46779999136924744,0.5611000061035156,0.5554999709129333,0.5200999975204468,0.5008000135421753,0.651199996471405,0.6765000224113464,0.6141999959945679,0.517799973487854,0.5843999981880188,0.5803999900817871,0.5665000081062317,0.5927000045776367,0.5785999894142151,0.6330000162124634,0.5098000168800354,0.5317999720573425,0.5489000082015991,0.5996,0.6152999997138977,0.5835000276565552,0.5644999742507935,0.5799000263214111,0.5634999871253967,0.534500002861023,0.5097000002861023,0.4814999997615814,0.5842000246047974,0.5462999939918518,0.5526000261306763,0.5468999743461609,0.5640000104904175,0.5608000159263611,0.5927000045776367,0.571399986743927,0.6340000033378601,0.6513000130653381,0.579200029373169
cebu1242,0.5978999733924866,0.5715000033378601,0.6136999726295471,0.6413000226020813,0.0,0.7936999797821045,0.527400016784668,0.609000027179718,0.5745999813079834,0.48510000109672546,0.5432000160217285,0.5814999938011169,0.6111000180244446,0.5634999871253967,0.6074000000953674,0.43799999356269836,0.5241000056266785,0.6013000011444092,0.5299000144004822,0.5652999877929688,0.4372999966144562,0.5396999716758728,0.49549999833106995,0.5321999788284302,0.6578999757766724,0.48750001192092896,0.6216999888420105,0.6266000270843506,0.6215000152587891,0.6074000000953674,0.635699987411499,0.6478000283241272,0.7346000075340271,0.5063999891281128,0.4239000082015991,0.6029999852180481,0.47540000081062317,0.5357999801635742,0.5285000205039978,0.5742999911308289,0.5254999995231628,0.531000018119812,0.6057000160217285,0.6312000155448914,0.5999000072479248,0.6699,0.5609999895095825,0.5112000107765198,0.41830000281333923,0.5343000292778015,0.5932000279426575,0.6643000245094299,0.657800018787384,0.4715000092983246,0.542900025844574,0.6158000230789185,0.5342000126838684,0.6237999796867371,0.5372999906539917,0.5105000138282776,0.5212000012397766,0.48249998688697815,0.5223000049591064,0.42660000920295715,0.5909000039100647
cent1972,0.7319999933242798,0.7491000294685364,0.7416999936103821,0.7207000255584717,0.7936999797821045,0.00019999999494757503,0.7394000291824341,0.7443000078201294,0.7897999882698059,0.6804999709129333,0.7448999881744385,0.8069999814033508,0.7455999851226807,0.7764000296592712,0.7258999943733215,0.7328000068664551,0.8112999796867371,0.7645999789237976,0.722100019454956,0.7882999777793884,0.7753000259399414,0.7328000068664551,0.7972999811172485,0.7508999705314636,0.7142000198364258,0.7795000076293945,0.7060999870300293,0.7026000022888184,0.7448999881744385,0.7095999717712402,0.7258999943733215,0.7210999727249146,0.5216000080108643,0.7179999947547913,0.7806000113487244,0.7562000155448914,0.8248999714851379,0.7620000243186951,0.7940999865531921,0.7343999743461609,0.7479000091552734,0.8029000163078308,0.7527999877929688,0.7226999998092651,0.7592999935150146,0.8305,0.7657999992370605,0.7612000107765198,0.7612000107765198,0.8112999796867371,0.7657999992370605,0.7026000022888184,0.7416999936103821,0.8016999959945679,0.7833999991416931,0.7278000116348267,0.7566999793052673,0.7304999828338623,0.8357999920845032,0.7799000144004822,0.7993999719619751,0.7821000218391418,0.7918000221252441,0.7785999774932861,0.7390000224113464
dani1285,0.4964999854564667,0.5516999959945679,0.5282999873161316,0.5956000089645386,0.527400016784668,0.7394000291824341,0.0,0.4717999994754791,0.4641999900341034,0.45840001106262207,0.4311999976634979,0.46320000290870667,0.4302999973297119,0.47850000858306885,0.5051000118255615,0.46810001134872437,0.503000020980835,0.5404999852180481,0.4659000039100647,0.5652999877929688,0.47540000081062317,0.5396999716758728,0.5270000100135803,0.4754999876022339,0.6191999912261963,0.5548999905586243,0.5092999935150146,0.5461000204086304,0.5533999800682068,0.5267000198364258,0.5267000198364258,0.4832000136375427,0.5928999781608582,0.5662000179290771,0.5392000079154968,0.5307000279426575,0.5561000108718872,0.4706999957561493,0.47429999709129333,0.43880000710487366,0.40299999713897705,0.5925999879837036,0.5608999729156494,0.5092999935150146,0.5723000168800354,0.6699,0.4715999960899353,0.4862000048160553,0.4862000048160553,0.5837000012397766,0.4352000057697296,0.5565999746322632,0.5673999786376953,0.5386000275611877,0.3993000090122223,0.5604000091552734,0.4050999879837036,0.5760999917984009,0.5976999998092651,0.5105000138282776,0.5534999966621399,0.5194000005722046,0.6025999784469604,0.48510000109672546,0.5623999834060669
dutc1256,0.5404999852180481,0.5597000122070312,0.5271999835968018,0.5489000082015991,0.609000027179718,0.7443000078201294,0.4717999994754791,0.0,0.4311000108718872,0.529699981212616,0.4625999927520752,0.3831999897956848,0.27090001106262207,0.517300009727478,0.5109000205993652,0.5745999813079834,0.5295000076293945,0.4925999939441681,0.4657000005245209,0.4984000027179718,0.508899986743927,0.499099999666214,0.5239999890327454,0.43389999866485596,0.5759000182151794,0.5289000272750854,0.5734000205993652,0.5507000088691711,0.49959999322891235,0.5109000205993652,0.586899995803833,0.5536999702453613,0.6751000285148621,0.6445000171661377,0.5641999840736389,0.5033000111579895,0.5726000070571899,0.5029000043869019,0.4108999967575073,0.4742000102996826,0.504800021648407,0.5734000205993652,0.4950000047683716,0.5482000112533569,0.5407999753952026,0.5858,0.499099999666214,0.5220999717712402,0.541700005531311,0.5543000102043152,0.3986999988555908,0.5925999879837036,0.5515000224113464,0.5450999736785889,0.4934000074863434,0.5299999713897705,0.4408999979496002,0.5117999911308289,0.5285000205039978,0.454800009727478,0.5299999713897705,0.5584999918937683,0.5999000072479248,0.6062999963760376,0.5543000102043152
stan1293,0.5347999930381775,0.5781000256538391,0.5217999815940857,0.4925000071525574,0.5745999813079834,0.7897999882698059,0.4641999900341034,0.4311000108718872,0.0,0.5224999785423279,0.4659999907016754,0.4453999996185303,0.39559999108314514,0.4846000075340271,0.4957999885082245,0.5562999844551086,0.48019999265670776,0.4878000020980835,0.4869000017642975,0.5103999972343445,0.4627000093460083,0.5382999777793884,0.5184000134468079,0.46779999136924744,0.5949000120162964,0.5041000247001648,0.515999972820282,0.5358999967575073,0.5540000200271606,0.5311999917030334,0.5311999917030334,0.503600001335144,0.7017999887466431,0.6137999892234802,0.5938000082969666,0.49000000953674316,0.5485000014305115,0.5059000253677368,0.4043999910354614,0.4869999885559082,0.48890000581741333,0.583899974822998,0.5060999989509583,0.5335999727249146,0.5192000269889832,0.5836,0.46369999647140503,0.5149999856948853,0.5149999856948853,0.5486999750137329,0.45249998569488525,0.5616999864578247,0.5134000182151794,0.475600004196167,0.44780001044273376,0.5644000172615051,0.44449999928474426,0.5232999920845032,0.48669999837875366,0.4390000104904175,0.5587000250816345,0.5422999858856201,0.6097999811172485,0.579200029373169,0.5407000184059143
fili1244,0.4918999969959259,0.5167999863624573,0.47119998931884766,0.4909000098705292,0.48510000109672546,0.6804999709129333,0.45840001106262207,0.529699981212616,0.5224999785423279,0.0,0.48510000109672546,0.5594000220298767,0.5324000120162964,0.579800009727478,0.4542999863624573,0.5062000155448914,0.550599992275238,0.48910000920295715,0.4832000136375427,0.5083000063896179,0.4316999912261963,0.4666000008583069,0.4909000098705292,0.5170000195503235,0.5213000178337097,0.49459999799728394,0.44620001316070557,0.5091999769210815,0.5181000232696533,0.5332000255584717,0.46619999408721924,0.47839999198913574,0.5722000002861023,0.5625,0.4986000061035156,0.49720001220703125,0.5299000144004822,0.49959999322891235,0.4918999969959259,0.5602999925613403,0.4625000059604645,0.5268999934196472,0.4569000005722046,0.45840001106262207,0.5196999907493591,0.6724,0.5465999841690063,0.4814000129699707,0.4683000147342682,0.5404999852180481,0.5199000239372253,0.47450000047683716,0.5034999847412109,0.47839999198913574,0.5170000195503235,0.5468999743461609,0.5192999839782715,0.5212000012397766,0.554099977016449,0.5060999989509583,0.527999997138977,0.4903999865055084,0.5698999762535095,0.4943000078201294,0.5586000084877014
finn1318,0.5081999897956848,0.5557000041007996,0.5203999876976013,0.5440000295639038,0.5432000160217285,0.7448999881744385,0.4311999976634979,0.4625999927520752,0.4659999907016754,0.48510000109672546,0.0,0.4377000033855438,0.426800012588501,0.4726000130176544,0.49480000138282776,0.5343999862670898,0.5411999821662903,0.49790000915527344,0.3310999870300293,0.52920001745224,0.4729999899864197,0.5221999883651733,0.5353000164031982,0.48660001158714294,0.5924000144004822,0.5054000020027161,0.5072000026702881,0.4700999855995178,0.44209998846054077,0.4652000069618225,0.5138999819755554,0.5228000283241272,0.6549000144004822,0.633400022983551,0.5644000172615051,0.5019999742507935,0.5339000225067139,0.44609999656677246,0.43959999084472656,0.4113999903202057,0.42480000853538513,0.597000002861023,0.5278000235557556,0.4975000023841858,0.5260000228881836,0.6113,0.492900013923645,0.5200999975204468,0.5095000267028809,0.5411999821662903,0.43709999322891235,0.574400007724762,0.5291000008583069,0.5037000179290771,0.4228000044822693,0.4494999945163727,0.4185999929904938,0.5324000120162964,0.5591999888420105,0.46369999647140503,0.5891000032424927,0.5382000207901001,0.5819000005722046,0.5260999798774719,0.5234000086784363
stan1290,0.5507000088691711,0.5613999962806702,0.5135999917984009,0.5821999907493591,0.5814999938011169,0.8069999814033508,0.46320000290870667,0.3831999897956848,0.4453999996185303,0.5594000220298767,0.4377000033855438,0.00019999999494757503,0.38760000467300415,0.4936999976634979,0.5473999977111816,0.5322999954223633,0.5318999886512756,0.4810999929904938,0.4325000047683716,0.5274999737739563,0.492000013589859,0.510699987411499,0.5182999968528748,0.43810001015663147,0.5932999849319458,0.5307000279426575,0.5663999915122986,0.5770999789237976,0.5282999873161316,0.5134000182151794,0.5719000101089478,0.529699981212616,0.7062000036239624,0.6412000060081482,0.5554999709129333,0.49900001287460327,0.5472000241279602,0.47920000553131104,0.37369999289512634,0.46779999136924744,0.4596000015735626,0.5663999915122986,0.5378999710083008,0.5497999787330627,0.5432000160217285,0.5767,0.4830000102519989,0.5135999917984009,0.5329999923706055,0.5400999784469604,0.4625999927520752,0.6248000264167786,0.553600013256073,0.529699981212616,0.43810001015663147,0.5483999848365784,0.42500001192092896,0.5479000210762024,0.5390999913215637,0.46810001134872437,0.5490999817848206,0.5406000018119812,0.5612999796867371,0.5663999915122986,0.5640000104904175
stan1295,0.5347999930381775,0.5702000260353088,0.5299999713897705,0.535099983215332,0.6111000180244446,0.7455999851226807,0.4302999973297119,0.27090001106262207,0.39559999108314514,0.5324000120162964,0.426800012588501,0.38760000467300415,0.0,0.5026000142097473,0.504800021648407,0.597000002861023,0.5153999924659729,0.49570000171661377,0.45980000495910645,0.5192999839782715,0.5210999846458435,0.5293999910354614,0.535099983215332,0.46779999136924744,0.5612999796867371,0.5317000150680542,0.5507000088691711,0.5358999967575073,0.47530001401901245,0.504800021648407,0.5730000138282776,0.5390999913215637,0.651199996471405,0.6570000052452087,0.5938000082969666,0.51419997215271,0.5662000179290771,0.5145999789237976,0.4449000060558319,0.44780001044273376,0.4984000027179718,0.6079000234603882,0.5060999989509583,0.5335999727249146,0.5353999733924866,0.5836,0.5382999777793884,0.5049999952316284,0.5537999868392944,0.5806000232696533,0.3921999931335449,0.5947999954223633,0.5461000204086304,0.5476999878883362,0.4578999876976013,0.49959999322891235,0.4343999922275543,0.5232999920845032,0.5396999716758728,0.4675999879837036,0.5587000250816345,0.5701000094413757,0.6251000165939331,0.6083999872207642,0.548799991607666
mode1248,0.5529999732971191,0.5293999910354614,0.6033999919891357,0.6104000210762024,0.5634999871253967,0.7764000296592712,0.47850000858306885,0.517300009727478,0.4846000075340271,0.579800009727478,0.4726000130176544,0.4936999976634979,0.5026000142097473,0.00019999999494757503,0.5680000185966492,0.545799970626831,0.5411999821662903,0.5537999868392944,0.4837999939918518,0.5738999843597412,0.5339000225067139,0.5221999883651733,0.508400022983551,0.4339999854564667,0.6352999806404114,0.5896000266075134,0.5712000131607056,0.6340000033378601,0.5734000205993652,0.48510000109672546,0.626800000667572,0.5945000052452087,0.6952000260353088,0.6218000054359436,0.5837000012397766,0.54339998960495,0.51419997215271,0.44609999656677246,0.4074000120162964,0.37529999017715454,0.4471000134944916,0.597000002861023,0.5760999917984009,0.5799000263214111,0.6230999827384949,0.6113,0.35679998993873596,0.5407000184059143,0.5304999947547913,0.505299985408783,0.5324000120162964,0.6256999969482422,0.6190000176429749,0.5770999789237976,0.4113999903202057,0.5318999886512756,0.4185999929904938,0.5845000147819519,0.5936999917030334,0.5293999910354614,0.5891000032424927,0.567799985408783,0.5734000205993652,0.5590999722480774,0.5907999873161316
guja1252,0.5202000141143799,0.504800021648407,0.3481999933719635,0.49239999055862427,0.6074000000953674,0.7258999943733215,0.5051000118255615,0.5109000205993652,0.4957999885082245,0.4542999863624573,0.49480000138282776,0.5473999977111816,0.504800021648407,0.5680000185966492,0.00019999999494757503,0.5842999815940857,0.5867999792098999,0.3562999963760376,0.49559998512268066,0.5507000088691711,0.5472999811172485,0.5722000002861023,0.5200999975204468,0.5289000272750854,0.5508000254631042,0.5187000036239624,0.39320001006126404,0.5033000111579895,0.5324000120162964,0.4977000057697296,0.39100000262260437,0.36320000886917114,0.6082000136375427,0.640500009059906,0.5976999998092651,0.3327000141143799,0.5939000248908997,0.5170999765396118,0.492000013589859,0.5476999878883362,0.5123000144958496,0.6341999769210815,0.3885999917984009,0.38109999895095825,0.4740999937057495,0.616,0.5722000002861023,0.5651999711990356,0.5450000166893005,0.6114000082015991,0.5078999996185303,0.4187000095844269,0.33550000190734863,0.5446000099182129,0.5383999943733215,0.5515000224113464,0.48429998755455017,0.3571999967098236,0.5885999798774719,0.5322999954223633,0.6101999878883362,0.5623000264167786,0.6428999900817871,0.5856999754905701,0.5522000193595886
hait1244,0.6047999858856201,0.5758000016212463,0.5903000235557556,0.6414999961853027,0.43799999356269836,0.7328000068664551,0.46810001134872437,0.5745999813079834,0.5562999844551086,0.5062000155448914,0.5343999862670898,0.5322999954223633,0.597000002861023,0.545799970626831,0.5842999815940857,0.0,0.4885999858379364,0.5932999849319458,0.5295000076293945,0.5250999927520752,0.4041999876499176,0.5444999933242798,0.5152000188827515,0.4738999903202057,0.6933000087738037,0.4749999940395355,0.6323999762535095,0.6276999711990356,0.6412000060081482,0.5842999815940857,0.6266000270843506,0.6089000105857849,0.6901999711990356,0.42329999804496765,0.4535999894142151,0.5964000225067139,0.5151000022888184,0.478300005197525,0.49390000104904175,0.5358999967575073,0.4523000121116638,0.5453000068664551,0.5999000072479248,0.6114000082015991,0.5848000049591064,0.7015,0.5081999897956848,0.47769999504089355,0.40149998664855957,0.5569000244140625,0.5569000244140625,0.6588000059127808,0.6588000059127808,0.4814999997615814,0.4867999851703644,0.6606000065803528,0.48890000581741333,0.6025000214576721,0.5164999961853027,0.4851999878883362,0.5238999724388123,0.3970000147819519,0.5679000020027161,0.4163999855518341,0.5958999991416931
haus1257,0.5382999777793884,0.5411999821662903,0.5735999941825867,0.5958999991416931,0.5241000056266785,0.8112999796867371,0.503000020980835,0.5295000076293945,0.48019999265670776,0.550599992275238,0.5411999821662903,0.5318999886512756,0.5153999924659729,0.5411999821662903,0.5867999792098999,0.4885999858379364,0.0,0.5343999862670898,0.541100025177002,0.4659000039100647,0.4767000079154968,0.5702000260353088,0.5121999979019165,0.5189999938011169,0.6353999972343445,0.5551999807357788,0.6147000193595886,0.6262000203132629,0.6080999970436096,0.5698999762535095,0.5950999855995178,0.6039999723434448,0.727400004863739,0.5723000168800354,0.5360999703407288,0.5776000022888184,0.4869999885559082,0.5353999733924866,0.5026999711990356,0.5189999938011169,0.48260000348091125,0.5198000073432922,0.5151000022888184,0.5814999938011169,0.5703999996185303,0.602,0.5156000256538391,0.5012000203132629,0.5116999745368958,0.5267999768257141,0.5525000095367432,0.6503999829292297,0.6277999877929688,0.4878999888896942,0.5,0.583899974822998,0.4950999915599823,0.602400004863739,0.5170999765396118,0.4968000054359436,0.4902999997138977,0.45590001344680786,0.5235000252723694,0.5594000220298767,0.608299970626831
hind1269,0.5126000046730042,0.4830000102519989,0.3587999939918518,0.5296000242233276,0.6013000011444092,0.7645999789237976,0.5404999852180481,0.4925999939441681,0.4878000020980835,0.48910000920295715,0.49790000915527344,0.4810999929904938,0.49570000171661377,0.5537999868392944,0.3562999963760376,0.5932999849319458,0.5343999862670898,0.0,0.49300000071525574,0.5529000163078308,0.5288000106811523,0.5123999714851379,0.5138999819755554,0.5159000158309937,0.5586000084877014,0.5138000249862671,0.4478999972343445,0.5437999963760376,0.4894999861717224,0.4909999966621399,0.44690001010894775,0.4147999882698059,0.666700005531311,0.6837000250816345,0.5860000252723694,0.29840001463890076,0.5863999724388123,0.5254999995231628,0.47099998593330383,0.5325000286102295,0.47350001335144043,0.557699978351593,0.34929999709129333,0.3889999985694885,0.476500004529953,0.5453,0.5455999970436096,0.5569000244140625,0.5569000244140625,0.5792999863624573,0.5497000217437744,0.48510000109672546,0.3792000114917755,0.5468999743461609,0.5159000158309937,0.54339998960495,0.4699999988079071,0.3720000088214874,0.5634999871253967,0.49959999322891235,0.5954999923706055,0.5554999709129333,0.583899974822998,0.59579998254776,0.557699978351593
hung1274,0.46239998936653137,0.5296000242233276,0.5297999978065491,0.5268999934196472,0.5299000144004822,0.722100019454956,0.4659000039100647,0.4657000005245209,0.4869000017642975,0.4832000136375427,0.3310999870300293,0.4325000047683716,0.45980000495910645,0.4837999939918518,0.49559998512268066,0.5295000076293945,0.541100025177002,0.49300000071525574,0.0,0.5551999807357788,0.48350000381469727,0.48330000042915344,0.5353999733924866,0.43619999289512634,0.5636000037193298,0.5239999890327454,0.4884999990463257,0.47119998931884766,0.4447999894618988,0.44690001010894775,0.5141000151634216,0.5131999850273132,0.6398000121116638,0.6234999895095825,0.5705000162124634,0.47920000553131104,0.541700005531311,0.4684000015258789,0.44269999861717224,0.44670000672340393,0.43799999356269836,0.5863999724388123,0.52920001745224,0.5256999731063843,0.5353000164031982,0.5973,0.49309998750686646,0.527899980545044,0.5476999878883362,0.5577999949455261,0.5062999725341797,0.5637999773025513,0.5127999782562256,0.5404000282287598,0.4253999888896942,0.4237000048160553,0.4108999967575073,0.5410000085830688,0.5666000247001648,0.5031999945640564,0.5867000222206116,0.5357000231742859,0.5720000267028809,0.5108000040054321,0.5241000056266785
nucl1417,0.5705999732017517,0.5983999967575073,0.5544999837875366,0.5260000228881836,0.5652999877929688,0.7882999777793884,0.5652999877929688,0.4984000027179718,0.5103999972343445,0.5083000063896179,0.52920001745224,0.5274999737739563,0.5192999839782715,0.5738999843597412,0.5507000088691711,0.5250999927520752,0.4659000039100647,0.5529000163078308,0.5551999807357788,0.0,0.4390999972820282,0.5509999990463257,0.5077000260353088,0.515999972820282,0.5846999883651733,0.4952000081539154,0.5806999802589417,0.6439999938011169,0.5738999843597412,0.5230000019073486,0.5597000122070312,0.6295999884605408,0.7297000288963318,0.5784000158309937,0.4587000012397766,0.5587999820709229,0.4616999924182892,0.5322999954223633,0.47870001196861267,0.5353000164031982,0.5382999777793884,0.47690001130104065,0.5095999836921692,0.5539000034332275,0.5842999815940857,0.6184,0.5602999925613403,0.48829999566078186,0.5102999806404114,0.45579999685287476,0.5044999718666077,0.6015999913215637,0.5544999837875366,0.45210000872612,0.5631999969482422,0.5737000107765198,0.510200023651123,0.5766000151634216,0.48429998755455017,0.5012999773025513,0.421099990606308,0.4153999984264374,0.5105999708175659,0.5935999751091003,0.6313999891281128
indo1316,0.5397999882698059,0.5426999926567078,0.5677000284194946,0.5199000239372253,0.4372999966144562,0.7753000259399414,0.47540000081062317,0.508899986743927,0.4627000093460083,0.4316999912261963,0.4729999899864197,0.492000013589859,0.5210999846458435,0.5339000225067139,0.5472999811172485,0.4041999876499176,0.4767000079154968,0.5288000106811523,0.48350000381469727,0.4390999972820282,0.00019999999494757503,0.4641000032424927,0.4697999954223633,0.45680001378059387,0.6033999919891357,0.3806999921798706,0.5888000130653381,0.5738999843597412,0.5809000134468079,0.5568000078201294,0.5568000078201294,0.5860999822616577,0.7124999761581421,0.5206000208854675,0.4528999924659729,0.5356000065803528,0.4422000050544739,0.4212000072002411,0.4368000030517578,0.5112000107765198,0.44830000400543213,0.4796999990940094,0.5189999938011169,0.5605999827384949,0.5458999872207642,0.6424,0.5077000260353088,0.3799000084400177,0.3165999948978424,0.46619999408721924,0.5264999866485596,0.6019999980926514,0.5938000082969666,0.40630000829696655,0.4334999918937683,0.6046000123023987,0.4505000114440918,0.5464000105857849,0.41999998688697815,0.4180999994277954,0.46810001134872437,0.4325999915599823,0.5529999732971191,0.46650001406669617,0.5257999897003174
